Daerah,Transisi Energi - Facebook,Transisi Energi - Twitter/ X,Transisi Energi - Instagram,Transisi Energi - Tik Tok,Transisi Energi - Whatsapp,Transisi Energi - Koran,Transisi Energi - Radio,Transisi Energi - Internet,Transisi Energi - Televisi,Transisi Energi - Lainnya.,Transisi Energi - Tidak Tahu.,Energi Baru Terbarukan - Facebook,Energi Baru Terbarukan - Twitter/ X,Energi Baru Terbarukan - Instagram,Energi Baru Terbarukan - Tik Tok,Energi Baru Terbarukan - Whatsapp,Energi Baru Terbarukan - Koran,Energi Baru Terbarukan - Radio,Energi Baru Terbarukan - Internet,Energi Baru Terbarukan - Televisi,Energi Baru Terbarukan - Lainnya.,Energi Baru Terbarukan - Tidak Tahu.,Krisis Iklim/Perubahan Iklim - Facebook,Krisis Iklim/Perubahan Iklim - Twitter/ X,Krisis Iklim/Perubahan Iklim - Instagram,Krisis Iklim/Perubahan Iklim - Tik Tok,Krisis Iklim/Perubahan Iklim - Whatsapp,Krisis Iklim/Perubahan Iklim - Koran,Krisis Iklim/Perubahan Iklim - Radio,Krisis Iklim/Perubahan Iklim - Internet,Krisis Iklim/Perubahan Iklim - Televisi,Krisis Iklim/Perubahan Iklim - Lainnya,Krisis Iklim/Perubahan Iklim - Tidak Tahu,Mineral Kritis - Facebook,Mineral Kritis - Twitter/ X,Mineral Kritis - Instagram,Mineral Kritis - Tik Tok,Mineral Kritis - Whatsapp,Mineral Kritis - Koran,Mineral Kritis - Radio,Mineral Kritis - Internet,Mineral Kritis - Televisi,Mineral Kritis - Lainnya,Mineral Kritis - Tidak Tahu
Sigi,Facebook,,Instagram,,,,,Internet,,,,Facebook,,,,,,Radio,Internet,Televisi,,,Facebook,,,,,,,Internet,Televisi,,,Facebook,,,,Whatsapp,,,Internet,Televisi,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,,,,,,,
Prov Palu,Facebook,,Instagram,Tik Tok,,,,,,,,Facebook,,Instagram,Tik Tok,,,,,,,,Facebook,,Instagram,Tik Tok,,,,,,,,Facebook,,Instagram,Tik Tok,,,,,,,
Prov Palu,,,,,,,,,,Lainnya,,,,,,,,,,,Lainnya,,,,,,,,,,,,,,,,,,,,,,,
Prov Palu,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,,,,Instagram,,,,,,,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prov Palu,,,,,,,,,,,,,,,,,,,,,,,Facebook,,Instagram,,,,,,,,,Facebook,,Instagram,,,,,,,,
Sigi,Facebook,,Instagram,Tik Tok,Whatsapp,,,Internet,Televisi,,,Facebook,,,,Whatsapp,Koran,,Internet,Televisi,,,Facebook,,Instagram,Tik Tok,Whatsapp,Koran,Radio,Internet,Televisi,,,Facebook,Twitter/ X,Instagram,,Whatsapp,,,Internet,Televisi,,
Prov Palu,,,Instagram,,,,,Internet,,,,,,Instagram,,,,,Internet,,,,,,Instagram,,,,,Internet,,,,,,Instagram,,,,,,,,
Morowali,,,,,,,,,,,,,,,,,,,,,,,,,,,Whatsapp,,,Internet,Televisi,,,,,,,Whatsapp,,,Internet,Televisi,,
Morowali,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Prov Palu,,,,,,,,,,,,Facebook,,,,,Koran,,Internet,Televisi,,,Facebook,,,,,Koran,,Internet,Televisi,,,,,,,,,,,,,
Prov Palu,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,
Kota Palu,,,,,,Koran,,Internet,,,,,,,,,Koran,,Internet,,,,,,,,,Koran,,Internet,,,,,,,,,Koran,,Internet,,,
Morowali Utara,Facebook,,,Tik Tok,,,,Internet,Televisi,,,Facebook,,Instagram,,,,,Internet,,Lainnya,,Facebook,,Instagram,,,,,Internet,,Lainnya,,Facebook,,Instagram,,,,,Internet,,Lainnya,
Morowali,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,,Facebook,,,,,,,Internet,,,
Morowali Utara,,,Instagram,,,,,,,,,Facebook,,,,,,,,,,,,,,,Whatsapp,,,,,,,,Twitter/ X,,,,,,,,,
Morowali Utara,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,
Prov Palu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu,,,,,,,,,,,Tidak Tahu
Prov Palu,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,,Facebook,,,,,,,,,,
Morowali,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,,,,,,,,,Internet,,,
Sigi,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,,Facebook,,Instagram,,,,,Internet,,,
Morowali,,,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,,,,,,Whatsapp,,,Internet,,,
