type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,09,-8.0365902185,114.4618794043, , ,False, , ,1295, , ,2025-02-22T01:35:51Z, , ,2025/02/22 08:35:51
TRACK,09,-8.0365901347,114.4618796557, , ,False, , ,1295, , ,2025-02-22T01:35:53Z, , ,2025/02/22 08:35:53
TRACK,09,-8.0365914758,114.4618791528, , ,False, , ,1312, , ,2025-02-22T01:35:55Z, , ,2025/02/22 08:35:55
TRACK,09,-8.0365941580,114.4618789852, , ,False, , ,1327, , ,2025-02-22T01:35:57Z, , ,2025/02/22 08:35:57
TRACK,09,-8.0365947448,114.4618787337, , ,False, , ,1331, , ,2025-02-22T01:35:59Z, , ,2025/02/22 08:35:59
TRACK,09,-8.0365948286,114.4618776441, , ,False, , ,1330, , ,2025-02-22T01:36:01Z, , ,2025/02/22 08:36:01
TRACK,09,-8.0365958344,114.4618761353, , ,False, , ,1332, , ,2025-02-22T01:36:03Z, , ,2025/02/22 08:36:03
TRACK,09,-8.0365960021,114.4618767221, , ,False, , ,1330, , ,2025-02-22T01:36:05Z, , ,2025/02/22 08:36:05
TRACK,09,-8.0365964212,114.4618772250, , ,False, , ,1328, , ,2025-02-22T01:36:07Z, , ,2025/02/22 08:36:07
TRACK,09,-8.0365971755,114.4618768897, , ,False, , ,1317, , ,2025-02-22T01:36:09Z, , ,2025/02/22 08:36:09
TRACK,09,-8.0365972593,114.4618772250, , ,False, , ,1314, , ,2025-02-22T01:36:11Z, , ,2025/02/22 08:36:11
TRACK,09,-8.0365976784,114.4618767221, , ,False, , ,1306, , ,2025-02-22T01:36:13Z, , ,2025/02/22 08:36:13
TRACK,09,-8.0365981814,114.4618760515, , ,False, , ,1302, , ,2025-02-22T01:36:15Z, , ,2025/02/22 08:36:15
TRACK,09,-8.0365987681,114.4618786499, , ,False, , ,1301, , ,2025-02-22T01:36:17Z, , ,2025/02/22 08:36:17
TRACK,09,-8.0365976784,114.4618808292, , ,False, , ,1302, , ,2025-02-22T01:36:19Z, , ,2025/02/22 08:36:19
TRACK,09,-8.0365975946,114.4618805777, , ,False, , ,1300, , ,2025-02-22T01:36:21Z, , ,2025/02/22 08:36:21
TRACK,09,-8.0365960021,114.4618800748, , ,False, , ,1292, , ,2025-02-22T01:36:23Z, , ,2025/02/22 08:36:23
